2765.01	639.01	122.01	84.01	1629.01	39.01	0.01	0.01	0.01	617.01	0.01	4553.01	127.01	0.01	2064.01	0.01	0.01	566.01	4739.01	292.01	638.01	0.01	0.01	1069.01	413.01
3912.01	0.01	0.01	0.01	1221.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	1835.01	0.01	0.01	433.01	4842.01	0.01	824.01	0.01	274.01	0.01	0.01
3371.01	0.01	0.01	104.01	1032.01	0.01	0.01	0.01	0.01	0.01	171.01	0.01	189.01	8.01	1192.01	0.01	0.01	0.01	4396.01	0.01	637.01	0.01	369.01	0.01	0.01
2148.01	0.01	0.01	475.01	234.01	0.01	1930.01	0.01	2714.01	0.01	0.01	0.01	0.01	0.01	1069.01	0.01	448.01	391.01	287.01	0.01	0.01	0.01	0.01	227.01	0.01
0.01	0.01	0.01	58.01	0.01	0.01	1302.01	0.01	1537.01	0.01	86.01	0.01	786.01	2660.01	527.01	0.01	248.01	0.01	0.01	0.01	342.01	547.01	1368.01	0.01	0.01
150.01	251.01	201.01	333.01	0.01	0.01	2110.01	123.01	711.01	1.01	60.01	0.01	1.01	539.01	330.01	0.01	393.01	561.01	0.01	74.01	73.01	296.01	0.01	346.01	123.01
694.01	0.01	0.01	253.01	286.01	0.01	279.01	31.01	880.01	621.01	262.01	0.01	0.01	1029.01	0.01	0.01	0.01	916.01	0.01	19.01	0.01	176.01	0.01	377.01	104.01
0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	5060.01	0.01	0.01	0.01
0.01	0.01	0.01	0.01	0.01	4921.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1164.01	0.01	1.01	0.01	432.01	0.01	0.01	0.01	0.01	0.01	36.01	0.01	0.01	0.01	128.01	0.01	0.01	224.01	2579.01	0.01	267.01	0.01	0.01	0.01	0.01
300.01	263.01	30.01	243.01	115.01	0.01	217.01	0.01	917.01	178.01	0.01	0.01	0.01	1339.01	0.01	142.01	378.01	215.01	0.01	0.01	0.01	80.01	0.01	210.01	169.01
0.01	42.01	356.01	115.01	0.01	0.01	0.01	833.01	0.01	10.01	57.01	0.01	0.01	271.01	283.01	950.01	171.01	0.01	0.01	0.01	0.01	0.01	0.01	780.01	537.01
